Shape,b_1(mm),d_1(mm),d_avg(mm),rho_avg(%),$b^* [mm]$,$b^*/d_{avg}$,f_c(MPa),f_y(MPa),V_u(kN),b_o (mm),$f_y * rho_{avg} [MPa]$,lamda,lamdas,beta,$ACI_a [psi]$,$ACI_b [psi]$,$ACI_c [psi]$,$ACI_{min} [psi]$,$ACI_{min} [MPa]$,ACI_$V_c [kN]$
S,127,127,63.5,0.008726646,127,2,18.63,376,88,762,3.281218896,0.75,1,1,155.943969,233.9159535,207.925292,155.943969,1.07519624,52.02548113
S,152,152,63.5,0.008726646,152.4,2.4,15.525,376,88,862,3.281218896,0.75,1,1,142.3567159,213.5350738,176.0467043,142.3567159,0.98151539,53.72516731
S,100,100,53.5,0.006863535,100,1.869158879,30.375,530,88,614,3.63767355,0.85,1,1,225.6721474,338.5082212,309.4722282,225.6721474,1.555955295,51.11153687
S,305,305,38.1,0.013089969,304.8,8,19.4542425,295,90,1372.4,3.861540855,0.75,1,1,159.3563297,239.0344945,123.9180086,123.9180086,0.854384929,44.67442135
S,100,100,46.5,0.012937238,100,2.150537634,27,530,90,586,6.85673614,0.85,1,1,212.765741,319.1486116,275.2157538,212.765741,1.466968721,39.97340046
C,100,100,60,0.0106,78.53981634,1.308996939,24.75,250,94,408.407045,2.65,0.85,1,1,203.7076881,305.5615321,401.1254025,203.7076881,1.404515619,34.41681841
C,224,224,38.1,0.013089969,175.9511797,4.618141201,24.4324325,392,96,763.5640945,5.131267848,0.85,1,1,202.3965811,303.5948716,202.1892852,202.1892852,1.394046596,40.55528296
C,154,154,38.1,0.026179939,121.091118,3.178244568,20.43678,379,97,543.6526087,9.922196881,0.75,1,1,163.3309134,244.9963701,196.13024,163.3309134,1.126127449,23.32564534
S,100,100,46.5,0.019614522,100,2.150537634,28.95,530,97,586,10.39569666,0.85,1,1,220.315018,330.472527,284.9808595,220.315018,1.519019174,41.39172218
C,100,100,60,0.0106,78.53981634,1.308996939,24.6,250,98,408.407045,2.65,0.85,1,1,203.0894539,304.6341809,399.9080237,203.0894539,1.400253043,34.31236652
C,119,119,82,0.0104,93.46238144,1.13978514,10.366,385,98,502.6548246,4.004,0.75,1,1,116.3235796,174.4853694,247.9248849,116.3235796,0.802023164,33.05752166
C,100,100,60,0.0156,78.53981634,1.308996939,24.75,250,100,408.407045,3.9,0.85,1,1,203.7076881,305.5615321,401.1254025,203.7076881,1.404515619,34.41681841
C,302,302,38.1,0.013089969,237.1949577,6.225589442,22.79487,386,101,1008.608321,5.052728034,0.75,1,1,172.4966701,258.7450051,151.4086455,151.4086455,1.043926272,40.11594452
C,100,100,60,0.0106,78.53981634,1.308996939,26.775,250,104,408.407045,2.65,0.85,1,1,211.8773625,317.8160437,417.2124926,211.8773625,1.460843564,35.79710113
C,100,100,60,0.0106,78.53981634,1.308996939,25.575,250,104,408.407045,2.65,0.85,1,1,207.0749854,310.6124781,407.7560237,207.0749854,1.427732326,34.98572999
S,102,102,60.8,0.018512592,101.6,1.671052632,19.1025,376,105,651.2,6.960734592,0.75,1,1,157.909137,236.8637055,226.3881608,157.909137,1.088745602,43.10662848
C,80,80,64,0.010471976,62.83185307,0.981747704,32.175,480,105,351.8583772,5.02654848,0.85,1,1,232.2624998,348.3937498,538.5966779,232.2624998,1.601394193,36.06166633
C,80,80,64,0.010471976,62.83185307,0.981747704,33.9,480,105,351.8583772,5.02654848,0.85,1,1,238.4073648,357.6110472,552.846089,238.4073648,1.643761563,37.01573368
C,152,152,80.79121,0.014994045,119.6946801,1.481531005,13.78124029,450,108,604.4286193,6.74732025,0.75,1,1,134.1239418,201.1859127,246.3393116,134.1239418,0.924752389,45.15795495
S,100,100,75,0.014959965,100,1.333333333,11.55,480,109,700,7.1807832,0.75,1,1,122.7872147,184.1808221,192.9513374,122.7872147,0.846588377,44.44585618
C,100,100,60,0.0156,78.53981634,1.308996939,27.225,250,113,408.407045,3.9,0.85,1,1,213.6504257,320.4756385,420.7038714,213.6504257,1.473068409,36.09666368
S,152,152,51,0.0167,152,2.980392157,11.11320755,352,113,812,5.8784,0.75,1,1,120.4430844,180.6646265,135.8692922,120.4430844,0.83042616,34.38958216
S,305,305,38.1,0.026179939,304.8,8,24.9564525,387,114,1372.4,10.13163639,0.85,1,1,204.555539,306.8333086,159.0656305,159.0656305,1.096719346,57.3457004
C,119,119,82,0.00736,93.46238144,1.13978514,8.875,456,117,502.6548246,3.35616,0.75,1,1,107.6332209,161.4498314,229.4027918,107.6332209,0.742105226,30.58784422
C,80,80,64,0.010471976,62.83185307,0.981747704,31.2,480,117,351.8583772,5.02654848,0.85,1,1,228.7162992,343.0744489,530.3733449,228.7162992,1.576943991,35.5110742
C,100,100,64,0.0292,78.53981634,1.22718463,26.25,250,118,414.6902303,7.3,0.85,1,1,209.7898498,314.6847748,428.6679345,209.7898498,1.446450665,38.38902439
S,100,100,60,0.011,100,1.666666667,37.05,382,120,640,4.202,1,1,1,293.2209515,439.8314273,421.5051178,293.2209515,2.021688088,77.63276389
S,152,152,51,0.022,152,2.980392157,13.62264151,352,123,812,7.744,0.75,1,1,133.3499386,200.0249078,150.429241,133.3499386,0.919415822,38.07481926
C,150,150,95,0.008726646,117.8097245,1.240102363,8.925,494,123,620.4645491,4.310963124,0.75,1,1,107.9359873,161.9039809,219.2299543,107.9359873,0.744192728,43.86576134
S,100,100,53.5,0.012890054,100,1.869158879,30.375,530,124,614,6.83172862,0.85,1,1,225.6721474,338.5082212,309.4722282,225.6721474,1.555955295,51.11153687
S,100,100,53.5,0.019573786,100,1.869158879,26.1,530,126,614,10.37410658,0.85,1,1,209.1895915,313.7843873,286.8691141,209.1895915,1.442312028,47.37847201
C,102,102,76.2,0.020138414,79.7964534,1.047197551,22.93161704,414,129,440.1371308,8.337303396,0.75,1,1,173.0133025,259.5199538,386.0408812,173.0133025,1.192885198,40.00748957
C,102,102,76.2,0.020138414,79.7964534,1.047197551,23.41631846,414,129,440.1371308,8.337303396,0.75,1,1,174.8322166,262.2483249,390.0993853,174.8322166,1.205426174,40.42809414
C,102,102,82.55,0.017523624,79.7964534,0.966643893,37.99145,531,129,450.1116874,9.305044344,1,1,1,296.9229914,445.384487,693.0150725,296.9229914,2.047212764,76.06765355
S,100,100,60,0.0195,100,1.666666667,37.05,382,135,640,7.449,1,1,1,293.2209515,439.8314273,421.5051178,293.2209515,2.021688088,77.63276389
S,152,152,60.8,0.018512592,152.4,2.506578947,18.225,376,136,851.2,6.960734592,0.75,1,1,154.2396121,231.3594182,187.2909576,154.2396121,1.063445108,55.03639055
C,102,102,76.2,0.020138414,79.7964534,1.047197551,21.48406281,414,136,440.1371308,8.337303396,0.75,1,1,167.4635767,251.195365,373.6578966,167.4635767,1.15462117,38.72417438
S,150,150,100,0.003528294,150,1.5,32.34,460,137,1000,1.62301524,0.85,1,1,232.8572831,349.2859247,349.2859247,232.8572831,1.605495082,160.5493868
C,102,102,82.55,0.017523624,79.7964534,0.966643893,37.99145,531,139,450.1116874,9.305044344,1,1,1,296.9229914,445.384487,693.0150725,296.9229914,2.047212764,76.06765355
C,102,102,82.55,0.017523624,79.7964534,0.966643893,37.99145,531,149,450.1116874,9.305044344,1,1,1,296.9229914,445.384487,693.0150725,296.9229914,2.047212764,76.06765355
S,100,100,100,0.005304952,100,1,34.3725,460,150,800,2.44027792,0.85,1,1,240.0630827,360.094624,420.1103946,240.0630827,1.65517734,132.4140871
C,51,51,130,0.00724359,39.8982267,0.306909436,24.89095,305,151,364.4247478,2.20929495,0.85,1,1,204.2869171,306.4303756,830.8892251,204.2869171,1.408509264,66.72838192
C,229,229,80,0.013368479,179.5420202,2.244275252,12.72817,372,152,845.0884238,4.973074188,0.75,1,1,128.8976915,193.3465373,186.4693945,128.8976915,0.888718648,60.08362189
C,221,221,82,0.01255,173.5729941,2.116743831,8.662,373,152,823.0972752,4.68115,0.75,1,1,106.3337783,159.5006674,159.1005386,106.3337783,0.733145881,49.48289353
C,152,152,72.5309,0.050105005,119.6946801,1.650257764,12.51053658,450,154,591.4533546,22.54725225,0.75,1,1,127.7909576,191.6864364,220.6076369,127.7909576,0.881087983,37.79745125
C,150,150,93,0.016249617,117.8097245,1.266771231,11.175,464,154,617.3229564,7.539822288,0.75,1,1,120.7774683,181.1662025,242.3405705,120.7774683,0.832731657,47.80795015
C,152,152,80.79121,0.014994045,119.6946801,1.481531005,23.75036944,450,160,604.4286193,6.74732025,0.75,1,1,176.0748555,264.1122833,323.3886367,176.0748555,1.213993871,59.28233458
S,201,201,82,0.00893,201,2.451219512,8.733,466,162,1132,4.16138,0.75,1,1,106.7686831,160.1530246,130.7256137,106.7686831,0.736144445,68.33182035
S,100,100,107,0.003670085,100,0.934579439,37.278,324,165,828,1.18910754,1,1,1,294.121786,441.1826791,527.1458098,294.121786,2.027899126,179.6636151
S,200,200,79,0.00750842,200,2.53164557,20.55,480,165,1116,3.6040416,0.75,1,1,163.7827161,245.6740742,197.830736,163.7827161,1.12924252,99.55846228
C,51,51,130,0.00724359,39.8982267,0.306909436,24.89095,305,166,364.4247478,2.20929495,0.85,1,1,204.2869171,306.4303756,830.8892251,204.2869171,1.408509264,66.72838192
S,100,100,60,0.0195,100,1.666666667,37.05,382,170,640,7.449,1,1,1,293.2209515,439.8314273,421.5051178,293.2209515,2.021688088,77.63276389
C,54,54,118,0.00841498,42.41150082,0.359419499,32.175,628,170,354.9999699,5.28460744,0.85,1,1,232.2624998,348.3937498,888.1587797,232.2624998,1.601394193,67.08234637
C,140,140,106,0.006668475,109.9557429,1.037318329,11.5395,350,172,606.3273821,2.33396625,0.75,1,1,122.7313897,184.0970845,275.928449,122.7313897,0.846203476,54.38605078
S,100,100,75,0.007479983,100,1.333333333,33.45,480,172,700,3.59039184,0.85,1,1,236.8197287,355.2295931,372.145288,236.8197287,1.632815193,85.72273284
S,150,150,100,0.005304952,150,1.5,33.15,460,174,1000,2.44027792,0.85,1,1,235.755365,353.6330475,353.6330475,235.755365,1.62547666,162.5475432
S,200,200,77,0.012046438,200,2.597402597,21.975,500,176,1108,6.023219,0.75,1,1,169.3661432,254.0492147,202.3833696,169.3661432,1.167738909,99.62673749
C,140,140,111,0.006368093,109.9557429,0.990592278,11.5395,350,177,614.1813638,2.22883255,0.75,1,1,122.7313897,184.0970845,283.1761413,122.7313897,0.846203476,57.68914336
C,140,140,110,0.006425985,109.9557429,0.999597663,11.5395,350,177,612.6105675,2.24909475,0.75,1,1,122.7313897,184.0970845,281.7414699,122.7313897,0.846203476,57.023208
S,100,100,75,0.015,100,1.333333333,27.645,382,180,700,5.73,0.85,1,1,215.2921106,322.9381659,338.3161738,215.2921106,1.484387433,77.93028132
C,229,229,80,0.013368479,179.5420202,2.244275252,13.70726,456,181,845.0884238,6.096026424,0.75,1,1,133.7634561,200.6451841,193.5084358,133.7634561,0.922266926,62.35172114
C,221,221,82,0.012,173.5729941,2.116743831,9.301,457,181,823.0972752,5.484,0.75,1,1,110.1861422,165.2792134,164.8645882,110.1861422,0.759707006,51.27560812
S,100,100,75,0.014959965,100,1.333333333,36.075,480,182,700,7.1807832,1,1,1,289.3370588,434.0055882,454.672521,289.3370588,1.99490958,104.7326738
C,140,140,101,0.006998597,109.9557429,1.088670722,11.5395,350,183,598.4734005,2.44950895,0.75,1,1,122.7313897,184.0970845,268.4905285,122.7313897,0.846203476,51.14941881
C,140,140,107,0.006606153,109.9557429,1.027623765,11.5395,350,183,607.8981785,2.31215355,0.75,1,1,122.7313897,184.0970845,277.3929698,122.7313897,0.846203476,55.04135245
C,100,100,80,0.017951958,78.53981634,0.981747704,37.5,550,183,439.8229715,9.8735769,1,1,1,294.9962712,442.4944067,684.0708756,294.9962712,2.033928491,71.56542372
C,120,120,101,0.007109686,94.24777961,0.933146333,23.925,678,183,535.6415474,4.820367108,0.75,1,1,176.7209873,265.0814809,421.5837061,176.7209873,1.218448794,65.91778175
S,100,100,107,0.00734017,100,0.934579439,37.743975,324,184,828,2.37821508,1,1,1,295.9543383,443.9315074,530.4302391,295.9543383,2.040534133,180.7830255
C,120,120,95.5,0.011748664,94.24777961,0.986887745,24,723,184,527.0021676,8.494284072,0.75,1,1,176.9977627,265.496644,409.2430334,176.9977627,1.220357094,61.41894823
S,100,100,75,0.014959965,100,1.333333333,26.4,480,185,700,7.1807832,0.85,1,1,210.3883956,315.5825934,330.6103359,210.3883956,1.450577494,76.1552609
C,140,140,106,0.006668475,109.9557429,1.037318329,11.5395,350,187,606.3273821,2.33396625,0.75,1,1,122.7313897,184.0970845,275.928449,122.7313897,0.846203476,54.38605078
S,200,200,100,0.007272205,200,2,20.52,507,188,1200,3.687007935,0.75,1,1,163.663123,245.4946845,218.2174974,163.663123,1.128417954,135.4100522
S,160,160,80,0.013962634,160,2,24.525,525,190,960,7.33038285,0.85,1,1,202.77963,304.169445,270.37284,202.77963,1.398116882,107.3752954
S,200,200,100,0.005304952,200,2,34.125,460,191,1200,2.44027792,0.85,1,1,239.1972312,358.7958469,318.9296416,239.1972312,1.649207502,197.9047507
S,200,200,77,0.009207482,200,2.597402597,30.3,500,194,1108,4.603741,0.85,1,1,225.3933677,338.0900515,269.3328689,225.3933677,1.554033176,132.5837942
S,100,100,107,0.010569844,100,0.934579439,23.019165,324,196,828,3.424629456,0.75,1,1,173.3432516,260.0148774,310.6780017,173.3432516,1.195160117,105.8863257
S,150,150,75,0.014959965,150,2,21.525,480,197,900,7.1807832,0.75,1,1,167.623049,251.4345735,223.4973986,167.623049,1.155720693,78.01108784
C,150,150,95,0.008726646,117.8097245,1.240102363,21.75,494,197,620.4645491,4.310963124,0.75,1,1,168.4968501,252.7452752,342.2357796,168.4968501,1.161745342,68.47801925
C,152,152,130,0.00724359,119.6946801,0.920728308,24.89095,305,198,681.7256058,2.20929495,0.85,1,1,204.2869171,306.4303756,491.7034075,204.2869171,1.408509264,124.8280938
C,140,140,111,0.006368093,109.9557429,0.990592278,11.5395,350,198,614.1813638,2.22883255,0.75,1,1,122.7313897,184.0970845,283.1761413,122.7313897,0.846203476,57.68914336
S,150,150,100,0.0055702,150,1.5,34.95,462,198,1000,2.5734324,0.85,1,1,242.071359,363.1070385,363.1070385,242.071359,1.669023923,166.9022662
C,152,152,130,0.00724359,119.6946801,0.920728308,24.89095,305,199,681.7256058,2.20929495,0.85,1,1,204.2869171,306.4303756,491.7034075,204.2869171,1.408509264,124.8280938
C,152,152,130,0.00724359,119.6946801,0.920728308,24.89095,305,200,681.7256058,2.20929495,0.85,1,1,204.2869171,306.4303756,491.7034075,204.2869171,1.408509264,124.8280938
C,152,152,130,0.00724359,119.6946801,0.920728308,24.89095,305,201,681.7256058,2.20929495,0.85,1,1,204.2869171,306.4303756,491.7034075,204.2869171,1.408509264,124.8280938
C,221,221,82,0.0121,173.5729941,2.116743831,16.046,559,201,823.0972752,6.7639,0.75,1,1,144.7256637,217.0884955,216.5438999,144.7256637,0.997848717,67.34872703
C,152,152,130,0.00724359,119.6946801,0.920728308,24.89095,305,202,681.7256058,2.20929495,0.85,1,1,204.2869171,306.4303756,491.7034075,204.2869171,1.408509264,124.8280938
S,200,200,100,0.010908308,200,2,19,507,202,1200,5.530512156,0.75,1,1,157.4849136,236.2273703,209.9798848,157.4849136,1.085820683,130.2983834
C,152,152,130,0.00724359,119.6946801,0.920728308,24.89095,305,203,681.7256058,2.20929495,0.85,1,1,204.2869171,306.4303756,491.7034075,204.2869171,1.408509264,124.8280938
C,102,102,82.55,0.017523624,79.7964534,0.966643893,37.99145,531,204,450.1116874,9.305044344,1,1,1,296.9229914,445.384487,693.0150725,296.9229914,2.047212764,76.06765355
R,80,320,92,0.014866786,200,2.173913043,17.385,352,210,1168,5.233108672,0.75,1,4,150.6431899,112.9823924,193.9789021,112.9823924,0.77898648,83.70670795
S,100,100,107,0.009786893,100,0.934579439,34.016175,324,211,828,3.170953332,0.85,1,1,238.8155254,358.2232881,428.0220286,238.8155254,1.646575732,145.8799133
C,150,150,93,0.016249617,117.8097245,1.266771231,25.125,464,214,617.3229564,7.539822288,0.85,1,1,205.2451264,307.8676896,411.8253323,205.2451264,1.415115888,81.24320629
C,150,150,95,0.008726646,117.8097245,1.240102363,35.475,494,214,620.4645491,4.310963124,1,1,1,286.9208407,430.381261,582.7680311,286.9208407,1.978250335,116.6061611
S,201,201,82,0.0089,201,2.451219512,12.354,510,215,1132,4.539,0.75,1,1,126.9889565,190.4834347,155.4829449,126.9889565,0.875558378,81.27276942
S,100,100,107,0.010569844,100,0.934579439,24.323895,304,216,828,3.213232576,0.85,1,1,201.9465221,302.9197832,361.9428005,201.9465221,1.392372803,123.3585676
C,254,254,130,0.00724359,199.4911335,1.534547181,24.89095,305,216,1002.168056,2.20929495,0.85,1,1,204.2869171,306.4303756,367.1419191,204.2869171,1.408509264,183.5030503
C,254,254,130,0.00724359,199.4911335,1.534547181,24.89095,305,220,1002.168056,2.20929495,0.85,1,1,204.2869171,306.4303756,367.1419191,204.2869171,1.408509264,183.5030503
R,100,300,92,0.014866786,200,2.173913043,19.475,352,220,1168,5.233108672,0.75,1,3,159.4413229,132.8677691,205.3080048,132.8677691,0.91609138,98.43944089
S,200,200,75,0.014959965,200,2.666666667,11.55,480,221,1100,7.1807832,0.75,1,1,122.7872147,184.1808221,145.1121629,122.7872147,0.846588377,69.84348829
S,150,150,75,0.014959965,150,2,23.7,480,227,900,7.1807832,0.75,1,1,175.8880479,263.8320719,234.5173972,175.8880479,1.212705877,81.85758485
C,150,150,102,0.010266643,117.8097245,1.154997299,31.575,650,227,631.4601234,6.67331795,0.85,1,1,230.0866908,345.1300361,486.7032743,230.0866908,1.586392512,102.1777711
C,203,203,121.55821,0.006645023,159.5929068,1.312892885,15.2877447,450,230,828.6864984,2.99026035,0.75,1,1,141.26477,211.897155,277.8505864,141.26477,0.973986686,98.11315721
S,150,150,75,0.014959965,150,2,27,480,235,900,7.1807832,0.85,1,1,212.765741,319.1486116,283.6876547,212.765741,1.466968721,99.02031382
S,160,160,80,0.013962634,160,2,31.875,525,236,960,7.33038285,0.85,1,1,231.1771551,346.7657327,308.2362068,231.1771551,1.593911002,122.4122724
S,130,130,96,0.014577466,130,1.354166667,29.3,526,236,904,7.667747116,0.85,1,1,221.6428003,332.4642004,346.1942854,221.6428003,1.528173913,132.6209447
C,356,356,130,0.00724359,279.2875869,2.148366053,24.89095,305,239,1322.610507,2.20929495,0.85,1,1,204.2869171,306.4303756,302.9380165,204.2869171,1.408509264,242.1780068
C,300,300,80,0.0202,235.619449,2.945243113,15.62,403,239,1068.141502,8.1406,0.75,1,1,142.7916035,214.1874053,178.3416349,142.7916035,0.984513836,84.12794348
C,221,221,82,0.01327,173.5729941,2.116743831,19.17,456,240,823.0972752,6.05112,0.75,1,1,158.1878824,237.2818236,236.6865703,158.1878824,1.090667484,73.61342999
C,150,150,90,0.005817764,117.8097245,1.308996939,31.825,620,240,612.6105675,3.60701368,0.85,1,1,230.9957685,346.4936528,454.8589772,230.9957685,1.592660385,87.81118605
S,120,120,107,0.009802577,120,1.121495327,52.44,749,240,908,7.342130173,1,1,1,348.8447843,523.2671764,585.5060036,348.8447843,2.405201065,233.6795381
