Shape,b_1(mm),d_1(mm),d_avg(mm),rho_avg(%),$b^* [mm]$,$b^*/d_{avg}$,f_c(MPa),f_y(MPa),V_u(kN),b_o (mm),$f_y * rho_{avg} [MPa]$,lamda,lamdas,beta,$ACI_a [psi]$,$ACI_b [psi]$,$ACI_c [psi]$,$ACI_{min} [psi]$,$ACI_{min} [MPa]$,ACI_$V_c [kN]$
C,300,300,143,0.014829196,235.619449,1.647688455,32.4,558,628,1167.101671,8.274691368,0.85,1,1,233.0731917,349.6097875,402.1112569,233.0731917,1.606983719,268.1982111
S,150,150,120,0.023466612,150,1.25,76,490,645,1080,11.49863988,1,1,1,419.9597695,629.9396543,676.6018509,419.9597695,2.89552182,375.2593443
C,240,240,201,0.010756001,188.4955592,0.937788852,20.4,725,661,1069.712299,7.798100725,0.75,1,1,163.1838742,244.7758113,388.2160524,163.1838742,1.125113649,241.9129465
C,175,175,172,0.01242025,137.4446786,0.799096969,34.2,500,668,819.9556826,6.210125,0.85,1,1,239.4599411,359.1899116,622.0389457,239.4599411,1.651018823,232.8469338
C,402,402,170,0.006425985,315.7300617,1.857235657,31.065,612,686,1529.955622,3.93270282,0.85,1,1,228.2209439,342.3314158,367.6966538,228.2209439,1.573528635,409.2626177
C,399,399,172,0.006353783,313.3738672,1.821941088,31.065,612,696,1523.672437,3.888515196,0.85,1,1,228.2209439,342.3314158,371.7380394,228.2209439,1.573528635,412.3769485
C,175,175,172,0.01242025,137.4446786,0.799096969,38.665,500,789,819.9556826,6.210125,1,1,1,299.5434999,449.3152498,778.1164651,299.5434999,2.065280541,291.2712046
C,406,406,175,0.006248472,318.8716543,1.822123739,31.065,612,799,1550.375975,3.824064864,0.85,1,1,228.2209439,342.3314158,371.7167935,228.2209439,1.573528635,426.9228508
C,250,250,200,0.010471976,196.3495408,0.981747704,32.7,530,825,1099.557429,5.55014728,0.85,1,1,234.1497479,351.2246219,542.9730432,234.1497479,1.614406316,355.0262233
S,300,300,190,0.012956935,300,1.578947368,32.2,531,825,1960,6.880132485,0.85,1,1,232.3527164,348.5290746,341.4162363,232.3527164,1.602016215,596.5903876
C,250,250,194,0.008636681,196.3495408,1.012111035,81.415,620,889,1090.132651,5.35474222,1,1,1,434.6634334,651.9951501,990.8587367,434.6634334,2.996900054,633.8011294
S,200,200,200,0.008264463,200,1,37.43,465,904,1600,3.842975295,1,1,1,294.7208127,442.0812191,515.7614222,294.7208127,2.032029271,650.2488752
C,250,250,201,0.006251926,196.3495408,0.976863387,103.36,633,960,1101.128225,3.957469158,1,1,1,489.7530427,734.6295641,1138.871965,489.7530427,3.376729689,747.3601214
C,250,250,200,0.00837758,196.3495408,0.981747704,84.675,643,965,1099.557429,5.38678394,1,1,1,443.2803655,664.9205482,1027.928884,443.2803655,3.056311733,672.1175461
C,250,250,200,0.00837758,196.3495408,0.981747704,86.735,627,1021,1099.557429,5.25274266,1,1,1,448.640095,672.9601426,1040.357634,448.640095,3.093265782,680.2441598
S,260,260,210,0.014959965,260,1.238095238,27.7,573,1024,1880,8.572059945,0.85,1,1,215.5061671,323.2592506,348.4780574,215.5061671,1.485863301,586.6183878
